product_title,product_subtitle,description,price,currency_code,quantity,tags,materials,image1,image2,image3,image4,image5,image6,image7,image8,image9,image10,sku,category,status,square_url
create a CUSTOM mala,"cost includes shipping, consultation, design time and beads","I love working with people to create custom mala designs! You can choose your beads, cord, tassel and we can work together to find just the right design to bring the energy and intentions you want to invite into your life to help you raise your vibe. The cost covers beads, materials, time, and shipping.


PLEASE READ BEFORE PURCHASING
Terms and conditions apply to custom mala creations. 

I can communicate with you through various channels/ platform options to be mututally determined by both parties. Options include phone calls, email, text, Etsy messages, FaceTime, Zoom, or Marco Polo. 

In brief, here is how the custom mala creation process works: 

1) Provide information on which colors/types of stones you are interested in or which types of energies you would like to include - e.g. grounding, balancing, uplifting, calming, energizing, etc. If you have a particular deadline you are trying to meet please let me know up front. 

2) I most likely will need to place an order to purchase your beads since I may not have the beads in stock you are looking for. If I do need to place an order, I will send you pictures of the beads so you can approve before ordered. 

3) By this time I should have an idea of what type of design/bead layout you are interested in. Once all beads are acquired I will lay out 2 - 3 design options and send pictures/ video.  

4) I’m happy to go back and forth a few times to get the design just right for you. If it requires more than 5 additional design ideations I may need to add an additional design fee. I will be upfront in communicating this with you, there will be no hidden fees or surprises. 

5) When you have selected a final design I will string the beads onto the cord without knotting and send more pictures/video. 
After you confirm this final design I will begin hand knotting your mala. 

The entire process from design to your mailbox usually takes 1 - 4 weeks depending on a few factors including how quickly beads can be sourced and how quickly the design is decided. 

Now that the T&C are out of the way and agreed upon, I look forward to working with you!",216,USD,2,"custom_mala,custom_necklace,custom_design,made_to_order,mala_made_to_order,custom_mala_design,create_a_unique_mala,unique,mala,mala_necklace,partner_gift",Gemstone,https://i.etsystatic.com/23287327/r/il/cb1b3b/3722159465/il_fullxfull.3722159465_npud.jpg,https://i.etsystatic.com/23287327/r/il/0588ce/3086214786/il_fullxfull.3086214786_kyw2.jpg,https://i.etsystatic.com/23287327/r/il/ec736e/3133940087/il_fullxfull.3133940087_24iz.jpg,https://i.etsystatic.com/23287327/r/il/d7d2fd/3133939953/il_fullxfull.3133939953_bgzw.jpg,https://i.etsystatic.com/23287327/r/il/edc056/2505074072/il_fullxfull.2505074072_lm06.jpg,https://i.etsystatic.com/23287327/r/il/858c76/3718154755/il_fullxfull.3718154755_pnso.jpg,https://i.etsystatic.com/23287327/r/il/90f7fc/3718158097/il_fullxfull.3718158097_9sk0.jpg,https://i.etsystatic.com/23287327/r/il/036175/3718159083/il_fullxfull.3718159083_2qo5.jpg,https://i.etsystatic.com/23287327/r/il/e03962/3718159437/il_fullxfull.3718159437_2x6e.jpg,https://i.etsystatic.com/23287327/r/il/c5d5f5/3170503443/il_fullxfull.3170503443_4un6.jpg,MBM099,made to order,TRUE,https://square.link/u/XXiAPoV2
the CARPE DIEM *mini* mala,"108, 6mm, living out the spirit of carpe diem, inspiring present moment awareness, power of now, manifesting","the CARPE DIEM *mini* mala - 108, 6mm, living out the spirit of carpe diem, inspiring present moment awareness, power of now, manifesting


sustainably HANDMADE with 108 6mm *mini* mala beads - 
unakite + sunstone + clear quartz + copper pyrite + moonstone guru bead + light desert sand tassel 


unakite - the ultimate stone for living out the spirit of carpe diem, it helps inspire a sense of urgency as you realize how quickly time slips through your fingers. believed to be good for pregnant women to carry and that it can boost the health of both the mother and child. 

sunstone - stone of optimism. life-affirming, dissipates fear, anxiety and depression. turns attention to personal strengths and the sunny side of life. harmonises the vegetative nervous system and the interplay of the organs. 

copper pyrite - an amazing energy conductor. intensifies the potency of most stones. use it when it’s time to pack up an old idea and ship it out for good. move on, renewed, with copper. 
copper is the gem of spiritual beauty. promotes a sense of aesthetic, harmony and love for all beings.  mentally lends playful creativity and promotes sense of justice. on the physical body level it aids fertility; eases cramps and menstrual pains; fortifies the liver and brain. 

clear quartz - a master manifestor, quartz is programmable. So, give it a job to do and get busy. It is a stone of clarity and neutrality. strengthens personal point of view, improves memory. mentally improves perceptive faculty, increases awareness and brings clarity in thinking. physically enhances energy flow; fortified nerves, brain, glands; alleviates pain and swellings. Use it when you find yourself believing the limitations your mind puts in front of you, call on quartz to help you see through the illusions, clear the mind of self-doubt, surrender to the will of the universe, and start manifesting the “impossible.” 

peach moonstone nugget guru bead - deepens intuition and depth of feeling. helps with sleepwalking. makes receptive to inspiration and impulses. brings hormonal cycles in harmony with natural rhythms, helps with problems during menstruation, menopause, and after childbirth.


GOOD FOR KIDDOS - the 6mm *mini* mala beads are smaller than traditional mala beads (8mm). the smaller beads create a mala that is shorter in length and lighter weight than a traditional mala, making this a great choice for a kiddo or someone who prefers the smaller size of the mini mala.",49,USD,1,"6mm_mala,pink_and_green_mala,mini_mala,unakite,meditation,present,pink_mala,copper_pyrite,clear_quartz,moonstone,sunstone,handmade_gift,unakite_mala","Gemstone,Unakite",https://i.etsystatic.com/23287327/r/il/9a41a5/3674562218/il_fullxfull.3674562218_3maz.jpg,https://i.etsystatic.com/23287327/r/il/12af50/3718129881/il_fullxfull.3718129881_p7ga.jpg,https://i.etsystatic.com/23287327/r/il/017c07/2959413083/il_fullxfull.2959413083_9lql.jpg,https://i.etsystatic.com/23287327/r/il/7f3f7f/2883469504/il_fullxfull.2883469504_sz55.jpg,https://i.etsystatic.com/23287327/r/il/07f488/2883469342/il_fullxfull.2883469342_2ktw.jpg,https://i.etsystatic.com/23287327/r/il/44a33f/3670529240/il_fullxfull.3670529240_hd2i.jpg,https://i.etsystatic.com/23287327/r/il/acb4ca/2931153625/il_fullxfull.2931153625_slsf.jpg,https://i.etsystatic.com/23287327/r/il/e9bbfb/3670529612/il_fullxfull.3670529612_65nt.jpg,https://i.etsystatic.com/23287327/r/il/d643e7/2939104971/il_fullxfull.2939104971_m3z0.jpg,https://i.etsystatic.com/23287327/r/il/48965f/2931153589/il_fullxfull.2931153589_t0wx.jpg,MBM107,mini malas,TRUE,https://square.link/u/mFipMnm1
the CHILLIN out MAXIN' RELAXIN' all cool mala,"stay calm and grounded with white jade + moonstone, for healing and stabilizing energy","the CHILLIN out MAXIN' RELAXIN' all cool mala - stay calm and grounded with white jade + moonstone, for healing and stabilizing energy  

sustainably HANDMADE with 8mm white jade beads + peach moonstone guru + very dark desert sand tassel


white jade - this stone is excellent for staying calm and grounded. it is recognized for its healing and stabilizing energies, which helps relieve anxiety and remove negative emotions developed from fear. this gemstone can purify negative feelings that prevent you from thinking. it is useful when you are losing self-confidence or goals for the future.

peach moonstone - brings soothing relief to emotional issues, such as depression or anger. supports the heart as it stimulates the mind, soothing worry or anxiety, and bringing out the best in people. its loving energy promotes the Divine in all situations, and is an emotional support for intuitive or sensitive children.",79,USD,1,"meditation,hippie,necklace,white_jade,peach_moonstone_guru,8mm_mala,desert_sand_tassel,stay_calm,calming_mala,sustainably_handmade,desert_vibes,chillin_out_gift,relaxing_gift","Jade,Gemstone",https://i.etsystatic.com/23287327/r/il/19176a/3722160809/il_fullxfull.3722160809_huwe.jpg,https://i.etsystatic.com/23287327/r/il/bf896c/3718061257/il_fullxfull.3718061257_ccpj.jpg,https://i.etsystatic.com/23287327/r/il/4a1e5c/2869561731/il_fullxfull.2869561731_7jp2.jpg,https://i.etsystatic.com/23287327/r/il/929557/2869562329/il_fullxfull.2869562329_iisx.jpg,https://i.etsystatic.com/23287327/r/il/fd1615/3670458834/il_fullxfull.3670458834_qn9o.jpg,https://i.etsystatic.com/23287327/r/il/cbb81e/3718060605/il_fullxfull.3718060605_1fjg.jpg,https://i.etsystatic.com/23287327/r/il/699a5b/2968098588/il_fullxfull.2968098588_d39j.jpg,https://i.etsystatic.com/23287327/r/il/55247b/2911718926/il_fullxfull.2911718926_a6mq.jpg,https://i.etsystatic.com/23287327/r/il/77bc6a/3718060109/il_fullxfull.3718060109_gli7.jpg,https://i.etsystatic.com/23287327/r/il/0e9331/2959407973/il_fullxfull.2959407973_6xve.jpg,MBM001,grounding vibes,TRUE,https://square.link/u/7iJTle3I
the COMPASSION mala,"10mm rudraksha seeds, aka ""the tears of Shiva"" help relieve stress, sharpen the mind, and increase intuitive powers","the COMPASSION mala - 10mm rudraksha seeds, aka ""the tears of Shiva"" can help relieve stress, sharpen the mind, and increase intuitive powers for spiritual seekers 

this is an **oversized mala** and is sustainably HANDMADE with 10mm beads instead of the ""traditional"" 8mm beads. rudraksha seeds are very tactile, lightweight, and bring calming energies when used in meditation. 


rudraksha seeds - found naturally all over india and nepal, the word rudraksha literally means “the tears of shiva”. they believe that while contemplating man’s suffering, shiva — the the supreme god  — unexpectedly began to cry tears of compassion. as his tears fell, he guided them towards Earth and transformed them into divine seeds - for the benefit of those seeking freedom from suffering and union with the divine. traditional malas are made entirely from rudraksha. wearing rudraksha helps alleviate stress, bring clarity, sharpen the mind, and increase the power of intuition.",79,USD,1,"10mm_mala,oversized_mala,rudraksha_seeds,108_beads,hippie_necklace,meditation,mala_necklace,traditional_mala,rudraksha_beads,rudraksha_mala,seed_mala,teal_green,teal",Silver,https://i.etsystatic.com/23287327/r/il/a9f5ae/3722255949/il_fullxfull.3722255949_ohrn.jpg,https://i.etsystatic.com/23287327/r/il/3d3513/2881773756/il_fullxfull.2881773756_ous5.jpg,https://i.etsystatic.com/23287327/r/il/b975e4/3718126301/il_fullxfull.3718126301_10pp.jpg,https://i.etsystatic.com/23287327/r/il/da0c82/3718128407/il_fullxfull.3718128407_31vs.jpg,https://i.etsystatic.com/23287327/r/il/e9acba/2929457983/il_fullxfull.2929457983_1gx6.jpg,https://i.etsystatic.com/23287327/r/il/9fc12d/2929458339/il_fullxfull.2929458339_1hqt.jpg,https://i.etsystatic.com/23287327/r/il/e37935/3670527672/il_fullxfull.3670527672_dgjw.jpg,https://i.etsystatic.com/23287327/r/il/23d002/3670526760/il_fullxfull.3670526760_sc9p.jpg,https://i.etsystatic.com/23287327/r/il/44b0e6/2929458119/il_fullxfull.2929458119_a7np.jpg,https://i.etsystatic.com/23287327/r/il/f6f0a4/3670527276/il_fullxfull.3670527276_gdev.jpg,MBM101,grounding vibes,TRUE,https://square.link/u/Ddn8jrYd
The DIVINE BEING mala,"calm your mind with purple rosewood, harness your inner spiritual wisdom with tourmaline & moonstone","The DIVINE BEING mala - calm your mind with purple rosewood, harness your inner spiritual wisdom with mauve tourmaline, smoky quartz, labradorite, and moonstone 

Purple rosewood + mauve tourmaline + smoky quartz + labradorite + moonstone + canadian night multi color tassel


 purple rosewood - physically aids with nervousness, headaches, and frigidity. also helps to boost the immune system because it calms the individual. on a spiritual level, it is associated with the healing feminine energies of compassion and love. it can enhance feminine grace and boost intuitive health.

tourmaline (violet/mauve) - stone of spiritual wisdom. promotes deep peace of mind and helps one to see life from an optimistic point of view. helps find the right solutions to problems. harmonizes the nervous system and hormonal balance; regulates breathing, the brain, and intestines. 

smoky quartz - pairs the clarity - inducing vibes of clear stones with the protective do-not-cross-over-this-line vibes of black ones. it is believed to filter and trap negative thoughts and emotions of other people, while others suggest it can actually send negativity back to its source and prompt the person to rethink his or her attitude. when worn smoky quartz can help you be more selective in the type of people you choose to be around. helps better cope with strain and stress. 

labradorite - an exceptionally powerful stone, it opens spiritual pathways and sharpens intuition. Aids in spiritual reflection and truth seeking. Aids those doing metaphysical work, enables one to monitor what is going on in another energy field without taking on conditions from that field or entering it. It prevents energy leakage, aka protection from energy vampires. Helps you see the gifts and talents in other people that should not be overlooked. 

moonstone - deepens intuition and depth of feeling. helps with sleepwalking. makes receptive to inspiration and impulses. brings hormonal cycles in harmony with natural rhythms, helps with problems during menstruation, menopause, and after childbirth.",79,USD,1,"divine_wisdom,inner_knowing,divine_being,moonstone,labradorite,smoky_quartz,moonstone_mala,labradorite_mala,labradorite_jewelry,smoky_quartz_mala,maroon_necklace,maroon_and_gray,purple_rosewood","Gemstone,Wood & nut,Tourmaline",https://i.etsystatic.com/23287327/r/il/11fe79/3718137943/il_fullxfull.3718137943_5goq.jpg,https://i.etsystatic.com/23287327/r/il/03e15e/3045841958/il_fullxfull.3045841958_1m7s.jpg,https://i.etsystatic.com/23287327/r/il/ca9053/3718139163/il_fullxfull.3718139163_65ro.jpg,https://i.etsystatic.com/23287327/r/il/146ef4/3670536226/il_fullxfull.3670536226_i5hk.jpg,https://i.etsystatic.com/23287327/r/il/93308f/3093569411/il_fullxfull.3093569411_86ih.jpg,https://i.etsystatic.com/23287327/r/il/4984b8/3045841488/il_fullxfull.3045841488_5xt1.jpg,https://i.etsystatic.com/23287327/r/il/50cd1b/3718139351/il_fullxfull.3718139351_ku78.jpg,https://i.etsystatic.com/23287327/r/il/087e01/3718140353/il_fullxfull.3718140353_o5u5.jpg,https://i.etsystatic.com/23287327/r/il/499c6f/3670538400/il_fullxfull.3670538400_hglt.jpg,https://i.etsystatic.com/23287327/r/il/66c3f1/3093570189/il_fullxfull.3093570189_b59d.jpg,MBM121,grounding vibes,TRUE,https://square.link/u/nX5Gn425
the DIVINE WISDOM *mini* mala,nurture your divine wisdom. relax in the deep peace of acceptance & trust the universe with tourmaline.,"the DIVINE WISDOM *mini* mala - 6mm MINI - nurture your divine wisdom and appreciate the synchronicities in life. relax into the deep peace of acceptance and trust in the universe. 

sustainably HANDMADE with 108 6mm MINI mala beads - moonstone + pink tourmaline + lilac jasper + lepitolite guru bead + gray tassel

Mycroft Holmes: “What do we say about coincidences?” 
Sherlock Holmes: “The universe is rarely so lazy.”

tourmaline (watermelon) - stone to promote spiritual wisdom and understanding. promotes love, friendship, and security; dispels fear and depression. promotes deep peace of mind and helps one to see life from an optimistic point of view. helps find the right solutions to problems. helps express one’s intentions clearly. 

lilac jasper - a nurturing crown chakra stone that provides peace of mind as well as protection. it is known as a stress relieving stone that stimulates positivity and divine synchronicity in all areas of life. increases overall feelings of wholeness and serenity.

moonstone - deepens intuition and depth of feeling. makes receptive to inspiration and impulses.",109,USD,1,"meditation,spiritual,gift,hippie,intuition,divine,crown_chakra,balancing,inner_peace,mala_for_kids,purple,gray_and_white","Tourmaline,Gemstone",https://i.etsystatic.com/23287327/r/il/c90ee1/3672431520/il_fullxfull.3672431520_msew.jpg,https://i.etsystatic.com/23287327/r/il/72e125/3670430352/il_fullxfull.3670430352_6bcr.jpg,https://i.etsystatic.com/23287327/r/il/7a94b2/3718029507/il_fullxfull.3718029507_bb5y.jpg,https://i.etsystatic.com/23287327/r/il/e14b8b/3670429456/il_fullxfull.3670429456_lxyu.jpg,https://i.etsystatic.com/23287327/r/il/62e296/3670429040/il_fullxfull.3670429040_y4h8.jpg,https://i.etsystatic.com/23287327/r/il/85ebf3/3670429810/il_fullxfull.3670429810_lj8b.jpg,https://i.etsystatic.com/23287327/r/il/471a71/3718030971/il_fullxfull.3718030971_6y8q.jpg,https://i.etsystatic.com/23287327/r/il/bb80b6/3670431048/il_fullxfull.3670431048_dghe.jpg,https://i.etsystatic.com/23287327/r/il/436b04/3670431294/il_fullxfull.3670431294_fenq.jpg,https://i.etsystatic.com/23287327/r/il/fbd32b/3670431566/il_fullxfull.3670431566_trew.jpg,,mini malas,TRUE,https://square.link/u/JUWilqWY
the DREAMER mala,"calm your mind, relax deeply, meditate on your deepest desires, and emerge with motivation & energy to take action","the DREAMER mala - calm your mind, relax deeply, meditate on your deepest desires, and emerge with motivation & energy to take action


sustainably HANDMADE with 108 8mm mala beads - 
sandalwood + red sandalwood + carnelian + orange carnelian + yellow jade + very dark terra cotta tassel


sandalwood - calms your mind. it is a sacred item that has been used in temples and shrines. can make you relax deeply and balance your feelings. can purify your negative energy and make you feel more positive. this dark brown sandalwood also has a light aromatic wood scent.

carnelian - (banded, chalcedony) -  stone to stimulate and motivate. Helps overcome difficulties and energetically defend a cause. Enhances receptivity. 

yellow jade - stone of balance. maintains balance between work and rest. aids childlike self-realization.",89,USD,1,"yellow_red_orange,happy,yellow_mala,solar_plexus,meditation,108_beads,hippie_necklace,chakra_jewelry,sandalwood_mala,red_and_orange_mala,carnelian_mala,yellow_jade_mala",Carnelian,https://i.etsystatic.com/23287327/r/il/027ceb/3670521312/il_fullxfull.3670521312_1xvu.jpg,https://i.etsystatic.com/23287327/r/il/dec766/2982648332/il_fullxfull.2982648332_dpw5.jpg,https://i.etsystatic.com/23287327/r/il/9cc9c7/3718086129/il_fullxfull.3718086129_a0yu.jpg,https://i.etsystatic.com/23287327/r/il/8c06c0/3030365673/il_fullxfull.3030365673_lt8u.jpg,https://i.etsystatic.com/23287327/r/il/d758da/3670480538/il_fullxfull.3670480538_lpv5.jpg,https://i.etsystatic.com/23287327/r/il/5ae128/3030364457/il_fullxfull.3030364457_90ag.jpg,https://i.etsystatic.com/23287327/r/il/18ebb2/2982648330/il_fullxfull.2982648330_916a.jpg,https://i.etsystatic.com/23287327/r/il/fed4ff/2623525125/il_fullxfull.2623525125_mquc.jpg,https://i.etsystatic.com/23287327/r/il/96874a/3718082195/il_fullxfull.3718082195_a8cm.jpg,https://i.etsystatic.com/23287327/r/il/02a814/3718082523/il_fullxfull.3718082523_py7b.jpg,MBM005,grounding vibes,TRUE,https://square.link/u/bW3e9EvG
the EMPATH mala,"protect your aura and shield yourself from low vibes w/ labradorite and onyx, free yourself of doubt w/ clear quartz","the EMPATH mala - protect your aura and shield yourself from low vibe energies with labradorite and onyx, free your mind of self-doubt with clear quartz 

Sustainably handmade with 108 8mm mala beads - faceted onyx + faceted black labradorite + labradorite + clear quartz + faceted quartz guru bead + black tassel


labradorite - an exceptionally powerful stone, it opens spiritual pathways and sharpens intuition. Aids in spiritual reflection and truth seeking. Aids those doing metaphysical work, enables one to monitor what is going on in another energy field without taking on conditions from that field or entering it. It prevents energy leakage, aka protection from energy vampires. 

onyx - stone of self-assertion. boosts self-confidence and sense of responsibility. improves rational thinking, logic, control and power of reasoning. 

